Date,Customer,Sales,,,
3/31/2007,Adder Inc.,690,,,
5/26/2007,Adder Inc.,999,,,
7/11/2007,Al Akbar News Services,759,,,
8/14/2007,Alf Jequitaine,759,,,
10/6/2007,Asian Pizza,759,,,
11/14/2007,Asian Pizza,859,,,
12/13/2007,Asian Pizza,700,,,
1/14/2008,Asian Pizza,810,,,
2/10/2008,Asian Pizza,810,,,
3/14/2008,Atlantic Marketing,810,,,
4/20/2008,Atlantic Marketing,810,,,
5/17/2008,Atlantic Marketing,"1,000",,,
6/21/2008,Baltic Resort,859,,,
7/30/2008,Baltic Resort,"1,090",,,
8/30/2008,Baltic Resort,"1,090",,,
9/21/2008,Bank Burger,"1,090",,,
10/13/2008,Barley Foods,930,,,
10/29/2008,Barley Foods,930,,,
11/24/2008,Barley Foods,930,,,
12/17/2008,Barn Motors,930,,,
1/3/2009,Barn Motors,"1,159",,,
1/18/2009,Basra Hotel,930,,,
2/14/2009,Bearings Bank Ltd.,900,,,
3/7/2009,Bearings Bank Ltd.,900,,,
3/19/2009,Bearings Bank Ltd.,900,,,
4/3/2009,Beta Julia Motors,990,,,
4/21/2009,Captain Cook's Surfing School,"1,030",,,
5/2/2009,Captain Cook's Surfing School,"1,159",,,
5/19/2009,Captain Cook's Surfing School,"1,000",,,
5/26/2009,Captain Cook's Surfing School,810,,,
6/2/2009,Captain Cook's Surfing School,910,,,
6/6/2009,Captain Cook's Surfing School,900,,,
6/11/2009,Captain Cook's Surfing School,900,,,
6/14/2009,Carlsborg,"1,010",,,
6/16/2009,Carlsborg,"1,210",,,
6/19/2009,CEN,"1,000",,,
6/21/2009,CEN,"1,250",,,
6/23/2009,CEN,"1,250",,,
6/26/2009,Coque Rouge Holding,"1,250",,,
6/29/2009,Crédit Bayonnais,"1,219",,,
7/2/2009,Crédit Bayonnais,"1,299",,,
7/5/2009,Crédit Bayonnais,"1,270",,,
7/8/2009,Cyberbank,"1,250",,,
7/10/2009,Cyberbank,"1,000",,,
7/12/2009,Cyberbank,"1,000",,,
7/15/2009,Cyberbank,"1,000",,,
7/18/2009,Cyberbank,"1,000",,,
7/22/2009,Cyberbank,"1,000",,,
7/27/2009,Cyberbank,"1,000",,,
7/31/2009,Demler-Bunz,"1,290",,,
8/3/2009,Dew-Light Packard,930,,,
8/8/2009,Dew-Light Packard,"1,230",,,
8/13/2009,Duoro Trading,"1,179",,,
8/17/2009,DW,900,,,
8/20/2009,Electratoppolina,"1,270",,,
8/25/2009,Electro-decibel,"1,200",,,
8/29/2009,Elektrolumen,930,,,
9/6/2009,Epsilon Airlines,"1,210",,,
9/9/2009,Ergo Motors,"1,059",,,
9/14/2009,Ergo Motors,"1,000",,,
9/19/2009,Ergo Motors,900,,,
9/22/2009,Ergo Motors,"1,079",,,
9/25/2009,Exotic Spice Trading,999,,,
9/30/2009,Exotic Spice Trading,"1,100",,,
10/3/2009,Exotic Spice Trading,"1,139",,,
10/6/2009,Exotic Spice Trading,"1,100",,,
10/11/2009,Exotic Spice Trading,"1,090",,,
10/15/2009,Exotic Spice Trading,900,,,
10/18/2009,Firelli Fettuchini,"1,090",,,
10/21/2009,Fjord Fishing,"1,130",,,
10/24/2009,Gamble & Hector,"1,290",,,
10/29/2009,Gamble & Hector,"1,100",,,
11/3/2009,Gasoline Motors,979,,,
11/6/2009,Gaston HiTech,"1,200",,,
11/9/2009,Gaston HiTech,"1,290",,,
11/13/2009,Giorgio Armanski,"1,110",,,
11/18/2009,Gulf Burger,"1,070",,,
11/22/2009,HAL 9000 Computers,"1,019",,,
11/25/2009,Herring Trade,"1,059",,,
11/30/2009,Immobil,"1,200",,,
12/5/2009,Infax,900,,,
12/10/2009,Infax,900,,,
12/14/2009,Jupiter International,979,,,
12/18/2009,Jupiter International,900,,,
12/23/2009,Jupiter International,900,,,
12/26/2009,Kilimanjaro Photo Film,900,,,
12/31/2009,Kuala Lumpur Busing Ltd.,900,,,
1/4/2010,Kyo-Yota Motor,"1,250",,,
1/7/2010,Kyoto KWB,"1,100",,,
1/11/2010,Lamaton Hotel,"1,319",,,
1/15/2010,Large Computers Corporation,"1,100",,,
1/20/2010,LM Didricsson,"1,210",,,
1/25/2010,LM Didricsson,"1,070",,,
1/28/2010,LM Didricsson,"1,010",,,
2/1/2010,Mae East Mountaneering,"1,310",,,
2/5/2010,Malaysia trading,"1,279",,,
2/10/2010,Mary Kay,930,,,
2/14/2010,McHill Graw,"1,030",,,
2/18/2010,Med Trade,990,,,
2/26/2010,Med Trade,"1,010",,,
3/4/2010,Med Trade,"1,119",,,
3/13/2010,Med Trade,"1,200",,,
3/22/2010,Med Trade,"1,000",,,
3/30/2010,Millisoft,"1,059",,,
4/4/2010,Millisoft,930,,,
4/10/2010,Mitsibushi Light Industries,"1,270",,,
4/18/2010,Moe's Laundromat,"1,039",,,
4/24/2010,Moe's Laundromat,959,,,
4/29/2010,Moe's Laundromat,"1,230",,,
5/6/2010,Moe's Laundromat,"1,850",,,
5/15/2010,Moe's Laundromat,"1,850",,,
5/22/2010,Moe's Laundromat,"1,850",,,
5/28/2010,Moldavian Vines,"1,850",,,
6/4/2010,Mombasa Airways,"2,000",,,
6/10/2010,Monday Motor,"1,400",,,
6/19/2010,Moon Computers,"1,400",,,
6/26/2010,Moose Manure AB,"1,400",,,
7/4/2010,Multibank,"1,400",,,
7/9/2010,Napa Ultrasonic,"2,210",,,
7/16/2010,Neumann & Fritz,"1,829",,,
7/23/2010,New-Kia Computers,"1,940",,,
7/28/2010,Newzda,"1,800",,,
8/5/2010,NyBro Medical equipment,"1,800",,,
8/11/2010,NyBro Medical equipment,"1,800",,,
8/16/2010,Outdoors Corp,"1,800",,,
8/25/2010,Pacific Development,"1,500",,,
9/3/2010,Param SBN,"2,120",,,
9/11/2010,Pei-Akei Bank,"2,030",,,
9/17/2010,Pey-Ote,"2,030",,,
9/26/2010,PW Service,"1,410",,,
10/5/2010,Red Star Corp,"2,120",,,
10/13/2010,Rocher & Colate,"1,900",,,
10/18/2010,Royce & Co. Ltd,"2,120",,,
10/22/2010,S'clock AktienGesellshaft,"1,640",,,
10/26/2010,SamYang Electronic Devices,"1,739",,,
10/30/2010,SamYang Electronic Devices,"1,739",,,
11/2/2010,Shamrack Café,"1,739",,,
11/5/2010,Shitoba,"1,739",,,
11/10/2010,Siberian Trade,"1,450",,,
11/13/2010,Silverstar,"1,940",,,
11/16/2010,Sky Dive Equipment,"1,970",,,
11/19/2010,Sky Dive Equipment,"1,640",,,
11/24/2010,Sommerthur,"1,640",,,
11/27/2010,Sputnik Trading,"1,640",,,
12/2/2010,Standard Centered,"1,640",,,
12/5/2010,Standard Centered,"1,580",,,
12/9/2010,Stella Drugs Inc,"2,200",,,
12/14/2010,Stella Drugs Inc,"1,640",,,
12/18/2010,Strutz Wolfcat Motors Inc,"2,150",,,
12/22/2010,Strutz Wolfcat Motors Inc,"1,889",,,
12/26/2010,Technology Industries,"1,829",,,
12/29/2010,The Asian Trade House,"1,850",,,
1/3/2011,The Asian Trade House,"1,610",,,
1/7/2011,The Asian Trade House,"1,850",,,
1/12/2011,The Asian Trade House,"2,210",,,
1/16/2011,The Asian Trade House,"2,009",,,
1/19/2011,The Asian Trade House,"1,700",,,
1/23/2011,The Asian Trade House,"1,700",,,
1/27/2011,The Asian Trade House,"1,580",,,
1/30/2011,The Asian Trade House,"2,060",,,
2/3/2011,The Asian Trade House,"1,940",,,
2/8/2011,The Asian Trade House,"1,640",,,
2/13/2011,The Asian Trade House,"1,640",,,
2/17/2011,The Asian Trade House,"1,640",,,
2/22/2011,The Asian Trade House,"1,829",,,
