Date,Customer,Sales,,
31/03/2007,Adder Inc.,690,,
26/05/2007,Adder Inc.,999,,
11/07/2007,Al Akbar News Services,759,,
14/08/2007,Alf Jequitaine,759,,
06/10/2007,Asian Pizza,759,,
14/11/2007,Asian Pizza,859,,
13/12/2007,Asian Pizza,700,,
14/01/2008,Asian Pizza,810,,
10/02/2008,Asian Pizza,810,,
14/03/2008,Atlantic Marketing,810,,
20/04/2008,Atlantic Marketing,810,,
17/05/2008,Atlantic Marketing,"1,000",,
21/06/2008,Baltic Resort,859,,
30/07/2008,Baltic Resort,"1,090",,
30/08/2008,Baltic Resort,"1,090",,
21/09/2008,Bank Burger,"1,090",,
13/10/2008,Barley Foods,930,,
29/10/2008,Barley Foods,930,,
24/11/2008,Barley Foods,930,,
17/12/2008,Barn Motors,930,,
03/01/2009,Barn Motors,"1,159",,
18/01/2009,Basra Hotel,930,,
14/02/2009,Bearings Bank Ltd.,900,,
07/03/2009,Bearings Bank Ltd.,900,,
19/03/2009,Bearings Bank Ltd.,900,,
03/04/2009,Beta Julia Motors,990,,
21/04/2009,Captain Cook's Surfing School,"1,030",,
02/05/2009,Captain Cook's Surfing School,"1,159",,
19/05/2009,Captain Cook's Surfing School,"1,000",,
26/05/2009,Captain Cook's Surfing School,810,,
02/06/2009,Captain Cook's Surfing School,910,,
06/06/2009,Captain Cook's Surfing School,900,,
11/06/2009,Captain Cook's Surfing School,900,,
14/06/2009,Carlsborg,"1,010",,
16/06/2009,Carlsborg,"1,210",,
19/06/2009,CEN,"1,000",,
21/06/2009,CEN,"1,250",,
23/06/2009,CEN,"1,250",,
26/06/2009,Coque Rouge Holding,"1,250",,
29/06/2009,Crédit Bayonnais,"1,219",,
02/07/2009,Crédit Bayonnais,"1,299",,
05/07/2009,Crédit Bayonnais,"1,270",,
08/07/2009,Cyberbank,"1,250",,
10/07/2009,Cyberbank,"1,000",,
12/07/2009,Cyberbank,"1,000",,
15/07/2009,Cyberbank,"1,000",,
18/07/2009,Cyberbank,"1,000",,
22/07/2009,Cyberbank,"1,000",,
27/07/2009,Cyberbank,"1,000",,
31/07/2009,Demler-Bunz,"1,290",,
03/08/2009,Dew-Light Packard,930,,
08/08/2009,Dew-Light Packard,"1,230",,
13/08/2009,Duoro Trading,"1,179",,
17/08/2009,DW,900,,
20/08/2009,Electratoppolina,"1,270",,
25/08/2009,Electro-decibel,"1,200",,
29/08/2009,Elektrolumen,930,,
06/09/2009,Epsilon Airlines,"1,210",,
09/09/2009,Ergo Motors,"1,059",,
14/09/2009,Ergo Motors,"1,000",,
19/09/2009,Ergo Motors,900,,
22/09/2009,Ergo Motors,"1,079",,
25/09/2009,Exotic Spice Trading,999,,
30/09/2009,Exotic Spice Trading,"1,100",,
03/10/2009,Exotic Spice Trading,"1,139",,
06/10/2009,Exotic Spice Trading,"1,100",,
11/10/2009,Exotic Spice Trading,"1,090",,
15/10/2009,Exotic Spice Trading,900,,
18/10/2009,Firelli Fettuchini,"1,090",,
21/10/2009,Fjord Fishing,"1,130",,
24/10/2009,Gamble & Hector,"1,290",,
29/10/2009,Gamble & Hector,"1,100",,
03/11/2009,Gasoline Motors,979,,
06/11/2009,Gaston HiTech,"1,200",,
09/11/2009,Gaston HiTech,"1,290",,
13/11/2009,Giorgio Armanski,"1,110",,
18/11/2009,Gulf Burger,"1,070",,
22/11/2009,HAL 9000 Computers,"1,019",,
25/11/2009,Herring Trade,"1,059",,
30/11/2009,Immobil,"1,200",,
05/12/2009,Infax,900,,
10/12/2009,Infax,900,,
14/12/2009,Jupiter International,979,,
18/12/2009,Jupiter International,900,,
23/12/2009,Jupiter International,900,,
26/12/2009,Kilimanjaro Photo Film,900,,
31/12/2009,Kuala Lumpur Busing Ltd.,900,,
04/01/2010,Kyo-Yota Motor,"1,250",,
07/01/2010,Kyoto KWB,"1,100",,
11/01/2010,Lamaton Hotel,"1,319",,
15/01/2010,Large Computers Corporation,"1,100",,
20/01/2010,LM Didricsson,"1,210",,
25/01/2010,LM Didricsson,"1,070",,
28/01/2010,LM Didricsson,"1,010",,
01/02/2010,Mae East Mountaneering,"1,310",,
05/02/2010,Malaysia trading,"1,279",,
10/02/2010,Mary Kay,930,,
14/02/2010,McHill Graw,"1,030",,
18/02/2010,Med Trade,990,,
26/02/2010,Med Trade,"1,010",,
04/03/2010,Med Trade,"1,119",,
13/03/2010,Med Trade,"1,200",,
22/03/2010,Med Trade,"1,000",,
30/03/2010,Millisoft,"1,059",,
04/04/2010,Millisoft,930,,
10/04/2010,Mitsibushi Light Industries,"1,270",,
18/04/2010,Moe's Laundromat,"1,039",,
24/04/2010,Moe's Laundromat,959,,
