Country,Flag
Australia,Flags\aus.bmp
Austria,Flags\aut.bmp
Belgium,Flags\bel.bmp
Canada,Flags\can.bmp
Chile,Flags\chi.bmp
Czechia,Flags\cze.bmp
Denmark,Flags\den.bmp
Estonia,Flags\est.bmp
Finland,Flags\fin.bmp
France,Flags\fra.bmp
Germany,Flags\ger.bmp
Greece,Flags\gre.bmp
Hungary,Flags\hun.bmp
Iceland,Flags\ice.bmp
Ireland,Flags\ire.bmp
Israel,Flags\isr.bmp
Italy,Flags\ita.bmp
Japan,Flags\jap.bmp
Luxembourg,Flags\lux.bmp
Mexico,Flags\mex.bmp
Netherlands,Flags\net.bmp
New Zealand,Flags\nze.bmp
Norway,Flags\nor.bmp
Poland,Flags\pol.bmp
Portugal,Flags\por.bmp
South Korea,Flags\Sko.bmp
Slovakia,Flags\Slk.bmp
Slovenia,Flags\Slo.bmp
Spain,Flags\spa.bmp
Sweden,Flags\swe.bmp
Switzerland,Flags\swi.bmp
Turkey,Flags\tur.bmp
Great Britain,Flags\uk.bmp
U.S.A.,Flags\usa.bmp
